event,date,status,department,institution,categories
GIS Week,2020-11-17T00:00:00Z,Undergraduate Student,Environmental Studies,UC Santa Barbara,NA
GIS Week,2020-11-17T00:00:00Z,Undergraduate Student,Geography,UC Santa Barbara,NA
GIS Week,2020-11-17T00:00:00Z,State of California,California Department of Fish & Wildlife,UC Santa Cruz,NA
GIS Week,2020-11-17T00:00:00Z,Alumni,Human Ecology,UC Davis,NA
GIS Week,2020-11-17T00:00:00Z,Undergraduate Student,Geography,UC Santa Barbara,NA
GIS Week,2020-11-17T00:00:00Z,Graduate Student,Epidemiology,UCLA,NA
GIS Week,2020-11-17T00:00:00Z,Graduate Student,Geography,UC Santa Barbara,NA
GIS Week,2020-11-17T00:00:00Z,Alumni,Geography,UC Santa Barbara,NA
GIS Week,2020-11-17T00:00:00Z,Undergraduate Student,Geography,UC Santa Barbara,NA
GIS Week,2020-11-17T00:00:00Z,Graduate Student,Nursing,UC Irvine,NA
GIS Week,2020-11-17T00:00:00Z,Undergraduate Student,Geography,UC Santa Barbara,NA
GIS Week,2020-11-17T00:00:00Z,Undergraduate Student,Geography,UC Santa Barbara,NA
GIS Week,2020-11-17T00:00:00Z,Undergraduate Student,Geography (GIS),UC Santa Barbara,NA
GIS Week,2020-11-17T00:00:00Z,Graduate Student,ALC,UCLA,NA
GIS Week,2020-11-17T00:00:00Z,Undergraduate Student,Geography,UC Santa Barbara,NA
GIS Week,2020-11-17T00:00:00Z,Alumni,Geography,UC Santa Barbara,NA
GIS Week,2020-11-17T00:00:00Z,Postdoc,Civil and Environmental Engineering,UC Berkeley,NA
GIS Week,2020-11-17T00:00:00Z,Undergraduate Student,Geography,UC Santa Barbara,NA
GIS Week,2020-11-17T00:00:00Z,Graduate Student,Geoscience,University Potsdam,NA
GIS Week,2020-11-17T00:00:00Z,Faculty,History / Critical Race and Ethnic Studies,UC Merced,NA
GIS Week,2020-11-17T00:00:00Z,Undergraduate Student,Environmental Studies,UC Santa Barbara,NA
GIS Week,2020-11-17T00:00:00Z,Postdoc,Epidemiology and Population Health,Stanford University,NA
GIS Week,2020-11-17T00:00:00Z,Alumni,Environmental Studies,UC Santa Cruz,NA
GIS Week,2020-11-17T00:00:00Z,Undergraduate Student,Asian American Studies,UCLA,NA
GIS Week,2020-11-17T00:00:00Z,Alumni,CNR,UC Berkeley,NA
GIS Week,2020-11-17T00:00:00Z,Friend of Two Alumni,Biolgical Engineering and the School of Leadership,UC San Diego,NA
GIS Week,2020-11-17T00:00:00Z,Staff,Library,UC Davis,NA
GIS Week,2020-11-17T00:00:00Z,Staff,Library,UC Santa Cruz,NA
GIS Week,2020-11-17T00:00:00Z,Staff,Special Collections and Archives,UC Santa Cruz,NA
GIS Week,2020-11-17T00:00:00Z,Staff,University Library,UC Santa Cruz,NA
GIS Week,2020-11-17T00:00:00Z,Alumni,Human Ecology,UC Davis,NA
GIS Week,2020-11-17T00:00:00Z,Graduate Student,Technology Management Program,UC Santa Barbara,NA
